office,state_po,district,special,side,name,incumbent,year,tier,description
HOUSE,FL,24,False,D,FREDERICA WILSON,False,2018,2.0,"Frederica Wilson , incumbent U.S. Representative"
HOUSE,FL,14,False,D,KATHY CASTOR,False,2018,2.0,"Kathy Castor , incumbent U.S. Representative"
HOUSE,FL,10,False,D,VAL DEMINGS,False,2018,2.0,"Val Demings , incumbent U.S. Representative"
HOUSE,FL,21,False,D,LOIS FRANKEL,False,2018,2.0,"Lois Frankel , incumbent U.S. Representative"
HOUSE,NY,15,False,R,JASON D GONZALEZ,False,2018,,
HOUSE,NY,13,False,R,JINEEA BUTLER,False,2018,0.0,"Jineea Butler, hip hop analyst"
HOUSE,NY,9,False,R,LUTCHI GAYOT,False,2018,0.0,"Lutchi Gayot, businessman"
HOUSE,NY,14,False,R,ANTHONY PAPPAS,False,2018,0.0,"Anthony Pappas, St. John's University economics and finance associate professor"
HOUSE,NJ,10,False,R,AGHA KHAN,False,2018,,
HOUSE,PA,3,False,R,BRYAN E LEIB,False,2018,,
HOUSE,IL,4,False,R,MARK WAYNE LORCH,False,2018,,
HOUSE,CA,37,False,R,RON J BASSILIAN,False,2018,0.0,"Ron J. Bassilian, e-mail administrator"
HOUSE,TX,33,False,R,WILLIE BILLUPS,False,2018,,
HOUSE,TX,29,False,R,PHILLIP ARONOFF,False,2018,,
HOUSE,NJ,8,False,R,JOHN R MUNIZ,False,2018,,
HOUSE,CA,29,False,R,BENITO BENNY BERNAL,False,2018,0.0,"Benito Bernal, educational transportation supervisor"
HOUSE,NY,12,False,R,ELIOT RABIN,False,2018,0.0,"Eliot Rabin, businessman"
HOUSE,IL,7,False,R,CRAIG CAMERON,False,2018,,
HOUSE,NY,10,False,R,NAOMI LEVIN,False,2018,0.0,"Naomi Levin, software engineer"
HOUSE,TN,9,False,R,CHARLOTTE BERGMANN,False,2018,0.0,"Charlotte Bergmann, business manager, nominee of this seat in 2014 and candidate in 2012"
HOUSE,TX,13,False,D,GREG SAGAN,False,2018,0.0,"Greg Sagan, Navy veteran"
HOUSE,TX,18,False,R,AVA REYNERO PATE,False,2018,,
HOUSE,TX,11,False,D,JENNIE LOU LEEDER,False,2018,0.0,"Jennie Lou Leeder, chair of the Llano County Democratic Party"
HOUSE,CA,12,False,R,LISA REMMER,False,2018,0.0,"Lisa Remmer, educator"
HOUSE,PA,2,False,R,DAVID TORRES,False,2018,0.0,"David Torres, community activist"
HOUSE,HI,1,False,R,CAM CAVASSO,False,2018,1.0,"Campbell Cavasso , former state representative, and 2004 , 2010 , and 2014 Republican nominee for U.S. Senate"
HOUSE,LA,3,False,D,"MILDRED \""MIMI\"" METHVIN",False,2018,,
HOUSE,CA,43,False,R,OMAR NAVARRO,False,2018,0.0,"Omar Navarro , small business owner and general election candidate for this seat in 2016"
HOUSE,LA,1,False,D,TAMMY M SAVOIE,False,2018,,
HOUSE,CA,51,False,R,JUAN M HIDALGO JR,False,2018,0.0,"Juan Hidalgo Jr., retired U.S. Marine"
HOUSE,OH,11,False,R,BEVERLY A GOLDSTEIN,False,2018,0.0,"Beverly Goldstein, former university professor and nominee for this seat in 2016"
HOUSE,IL,2,False,R,DAVID MERKLE,False,2018,,
HOUSE,HI,2,False,R,BRIAN EVANS,False,2018,0.0,"Brian Evans, singer, Democratic candidate for senator in 2004 and 2014"
HOUSE,CA,35,False,R,CHRISTIAN LEONEL VALIENTE,False,2018,0.0,"Christian Valiente, small business owner"
HOUSE,CA,46,False,R,RUSSELL RENE LAMBERT,False,2018,0.0,"Russell Rene Lambert, fraud investigator and businessman"
HOUSE,MO,1,False,R,ROBERT VROMAN,False,2018,,
HOUSE,KY,5,False,D,KENNETH S STEPP,False,2018,0.0,"Kenneth Stepp, attorney"
HOUSE,MI,14,False,R,MARC S HERSCHFUS,False,2018,,
HOUSE,AL,4,False,D,LEE AUMAN,False,2018,,
HOUSE,NV,1,False,R,JOYCE BENTLEY,False,2018,0.0,"Joyce Bentley, banker, realtor and small business owner"
HOUSE,TN,1,False,D,MARTY OLSEN,False,2018,0.0,"Marty Olsen, professor"
HOUSE,TX,16,False,R,RICK SEEBERGER,False,2018,,
HOUSE,NE,3,False,D,PAUL THEOBALD,False,2018,0.0,"Paul Theobald, educator and author"
HOUSE,TX,19,False,D,MIGUEL LEVARIO,False,2018,,
HOUSE,TX,35,False,R,DAVID SMALLING,False,2018,,
HOUSE,IL,1,False,R,JIMMY LEE TILLMAN II,False,2018,0.0,"Jimmy Lee Tillman, II, son of former Chicago alderman Dorothy Tillman , nominee for this seat in 2014 and candidate in 2016"
HOUSE,CA,17,False,R,RON COHEN,False,2018,0.0,"Ron Cohen, certified public accountant"
HOUSE,MD,4,False,R,GEORGE MCDERMOTT,False,2018,,
HOUSE,GA,14,False,D,STEVEN LAMAR FOSTER,False,2018,0.0,"Steven Lamar Foster, surgeon"
HOUSE,CA,28,False,R,JOHNNY J NALBANDIAN,False,2018,0.0,"Johnny Nalbandian, food industry businessman"
HOUSE,LA,6,False,D,JUSTIN DEWITT,False,2018,,
HOUSE,CA,32,False,R,JOSHUA M SCOTT,False,2018,,
