office,state_po,district,special,ext_D,ext_R,scored_D,scored_R,ideology_gap,year
HOUSE,AK,0,False,0.0,-0.493,False,True,-0.493,2018
HOUSE,AL,1,False,0.0,-0.0209999999999999,False,True,-0.0209999999999999,2018
HOUSE,AL,2,False,0.0,0.074,False,True,0.074,2018
HOUSE,AL,3,False,0.0,-0.02,False,True,-0.02,2018
HOUSE,AL,4,False,0.0,-0.0609999999999999,False,True,-0.0609999999999999,2018
HOUSE,AL,5,False,0.0,-0.0309999999999999,False,True,-0.0309999999999999,2018
HOUSE,AL,6,False,0.0,0.213,False,True,0.213,2018
HOUSE,AL,7,False,-0.39,,True,,0.39,2018
HOUSE,AR,1,False,0.0,-0.048,False,True,-0.048,2018
HOUSE,AR,2,False,0.0,-0.1809999999999999,False,True,-0.1809999999999999,2018
HOUSE,AR,3,False,0.0,-0.1809999999999999,False,True,-0.1809999999999999,2018
HOUSE,AR,4,False,0.0,-0.014,False,True,-0.014,2018
HOUSE,AZ,1,False,0.295,0.167,True,True,-0.128,2018
HOUSE,AZ,2,False,0.3269999999999999,0.0,True,False,-0.3269999999999999,2018
HOUSE,AZ,3,False,0.238,0.0,True,False,-0.238,2018
HOUSE,AZ,4,False,0.0,0.026,False,True,0.026,2018
HOUSE,AZ,5,False,0.0,0.209,False,True,0.209,2018
HOUSE,AZ,6,False,0.0,0.02,False,True,0.02,2018
HOUSE,AZ,7,False,-0.122,,True,,0.122,2018
HOUSE,AZ,8,False,0.0,0.0,False,False,0.0,2018
HOUSE,AZ,9,False,0.0,0.0,False,False,0.0,2018
HOUSE,CA,1,False,0.0,-0.058,False,True,-0.058,2018
HOUSE,CA,2,False,0.276,0.6220000000000001,True,True,0.3460000000000001,2018
HOUSE,CA,3,False,-0.149,-0.0729999999999999,True,True,0.076,2018
HOUSE,CA,4,False,0.0,0.149,False,True,0.149,2018
HOUSE,CA,5,False,-0.0789999999999999,,True,,0.0789999999999999,2018
HOUSE,CA,6,False,0.002,,True,,-0.002,2018
HOUSE,CA,7,False,0.29,0.0,True,False,-0.29,2018
HOUSE,CA,8,False,,-0.868,,True,-0.868,2018
HOUSE,CA,9,False,0.409,0.0,True,False,-0.409,2018
HOUSE,CA,10,False,0.0,-0.273,False,True,-0.273,2018
HOUSE,CA,11,False,0.146,0.0,True,False,-0.146,2018
HOUSE,CA,12,False,0.289,0.0,True,False,-0.289,2018
HOUSE,CA,13,False,0.381,,True,,-0.381,2018
HOUSE,CA,14,False,0.258,0.0,True,False,-0.258,2018
HOUSE,CA,15,False,0.04,0.0,True,False,-0.04,2018
HOUSE,CA,16,False,-0.751,0.0,True,False,0.751,2018
HOUSE,CA,17,False,-0.022,0.4630000000000001,True,True,0.4850000000000001,2018
HOUSE,CA,18,False,0.1889999999999999,0.0,True,False,-0.1889999999999999,2018
HOUSE,CA,19,False,0.141,0.0,True,False,-0.141,2018
HOUSE,CA,20,False,-0.368,,True,,0.368,2018
HOUSE,CA,21,False,0.287,-0.072,True,True,-0.3590000000000001,2018
HOUSE,CA,22,False,0.0,-0.0989999999999999,False,True,-0.0989999999999999,2018
HOUSE,CA,23,False,0.0,-0.363,False,True,-0.363,2018
HOUSE,CA,24,False,0.263,-0.1929999999999999,True,True,-0.4559999999999999,2018
HOUSE,CA,25,False,0.0,0.054,False,True,0.054,2018
HOUSE,CA,26,False,0.369,0.0,True,False,-0.369,2018
HOUSE,CA,27,False,-0.061,,True,,0.061,2018
HOUSE,CA,28,False,-0.014,0.0,True,False,0.014,2018
HOUSE,CA,29,False,-0.216,-1.12,True,True,-0.904,2018
HOUSE,CA,30,False,-0.256,0.0,True,False,0.256,2018
HOUSE,CA,31,False,0.15,-0.478,True,True,-0.628,2018
HOUSE,CA,32,False,-0.062,0.0,True,False,0.062,2018
HOUSE,CA,33,False,-0.132,-0.4279999999999999,True,True,-0.2959999999999999,2018
HOUSE,CA,34,False,0.0,,False,,0.0,2018
HOUSE,CA,35,False,-0.159,0.0,True,False,0.159,2018
HOUSE,CA,36,False,0.172,0.0,True,False,-0.172,2018
HOUSE,CA,37,False,0.3219999999999999,0.0,True,False,-0.3219999999999999,2018
HOUSE,CA,38,False,0.0729999999999999,0.0,True,False,-0.0729999999999999,2018
HOUSE,CA,39,False,0.0,0.0,False,False,0.0,2018
HOUSE,CA,40,False,-0.029,,True,,0.029,2018
HOUSE,CA,41,False,0.244,0.0,True,False,-0.244,2018
HOUSE,CA,42,False,0.0,-0.285,False,True,-0.285,2018
HOUSE,CA,43,False,0.144,0.054,True,True,-0.0899999999999999,2018
HOUSE,CA,44,False,0.253,,True,,-0.253,2018
HOUSE,CA,45,False,0.0,0.0569999999999999,False,True,0.0569999999999999,2018
HOUSE,CA,46,False,-0.353,0.0,True,False,0.353,2018
HOUSE,CA,47,False,0.04,0.0,True,False,-0.04,2018
HOUSE,CA,48,False,0.0,-0.126,False,True,-0.126,2018
HOUSE,CA,49,False,0.0,0.0,False,False,0.0,2018
HOUSE,CA,50,False,0.0,-0.365,False,True,-0.365,2018
HOUSE,CA,51,False,-0.502,0.0,True,False,0.502,2018
HOUSE,CA,52,False,0.245,0.0,True,False,-0.245,2018
HOUSE,CA,53,False,0.152,0.0,True,False,-0.152,2018
HOUSE,CO,1,False,0.158,0.0,True,False,-0.158,2018
HOUSE,CO,2,False,0.0,0.0,False,False,0.0,2018
HOUSE,CO,3,False,0.0,0.191,False,True,0.191,2018
HOUSE,CO,4,False,0.0,0.165,False,True,0.165,2018
HOUSE,CO,5,False,0.0,-0.1629999999999999,False,True,-0.1629999999999999,2018
HOUSE,CO,6,False,0.0,0.1559999999999999,False,True,0.1559999999999999,2018
HOUSE,CO,7,False,0.148,0.0,True,False,-0.148,2018
HOUSE,CT,1,False,-0.146,0.0,True,False,0.146,2018
HOUSE,CT,2,False,0.1759999999999999,0.0,True,False,-0.1759999999999999,2018
HOUSE,CT,3,False,0.163,0.1559999999999999,True,True,-0.0070000000000001,2018
HOUSE,CT,4,False,0.0969999999999999,0.0,True,False,-0.0969999999999999,2018
HOUSE,CT,5,False,0.0,0.0,False,False,0.0,2018
HOUSE,DE,0,False,0.0909999999999999,0.0,True,False,-0.0909999999999999,2018
HOUSE,FL,1,False,0.0,-0.0349999999999999,False,True,-0.0349999999999999,2018
HOUSE,FL,2,False,0.0,-0.028,False,True,-0.028,2018
HOUSE,FL,3,False,0.0,0.127,False,True,0.127,2018
HOUSE,FL,4,False,0.0,-0.0969999999999999,False,True,-0.0969999999999999,2018
HOUSE,FL,5,False,-0.474,0.0,True,False,0.474,2018
HOUSE,FL,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,FL,7,False,0.1939999999999999,0.0,True,False,-0.1939999999999999,2018
HOUSE,FL,8,False,0.0,-0.0209999999999999,False,True,-0.0209999999999999,2018
HOUSE,FL,9,False,-0.269,-0.2099999999999999,True,True,0.059,2018
HOUSE,FL,10,False,-0.131,,True,,0.131,2018
HOUSE,FL,11,False,0.0,0.024,False,True,0.024,2018
HOUSE,FL,12,False,0.0,-0.4369999999999999,False,True,-0.4369999999999999,2018
HOUSE,FL,13,False,-1.35,0.0,True,False,1.35,2018
HOUSE,FL,14,False,-0.271,,True,,0.271,2018
HOUSE,FL,15,False,0.0,0.0,False,False,0.0,2018
HOUSE,FL,16,False,0.0,-0.137,False,True,-0.137,2018
HOUSE,FL,17,False,0.433,0.0,True,False,-0.433,2018
HOUSE,FL,18,False,0.0,0.098,False,True,0.098,2018
HOUSE,FL,19,False,0.0,0.0989999999999999,False,True,0.0989999999999999,2018
HOUSE,FL,20,False,-0.363,,True,,0.363,2018
HOUSE,FL,21,False,-0.145,,True,,0.145,2018
HOUSE,FL,22,False,-0.338,0.0,True,False,0.338,2018
HOUSE,FL,23,False,0.0969999999999999,0.3520000000000001,True,True,0.2550000000000001,2018
HOUSE,FL,24,False,0.0669999999999999,,True,,-0.0669999999999999,2018
HOUSE,FL,25,False,0.0,-0.499,False,True,-0.499,2018
HOUSE,FL,26,False,0.0,-0.25,False,True,-0.25,2018
HOUSE,FL,27,False,0.0,0.0,False,False,0.0,2018
HOUSE,GA,1,False,0.0,-0.02,False,True,-0.02,2018
HOUSE,GA,2,False,-0.537,0.0,True,False,0.537,2018
HOUSE,GA,3,False,0.0,0.06,False,True,0.06,2018
HOUSE,GA,4,False,0.045,0.0,True,False,-0.045,2018
HOUSE,GA,5,False,-0.212,,True,,0.212,2018
HOUSE,GA,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,GA,7,False,0.0,0.006,False,True,0.006,2018
HOUSE,GA,8,False,,0.1340000000000001,,True,0.1340000000000001,2018
HOUSE,GA,9,False,0.0,-0.0769999999999999,False,True,-0.0769999999999999,2018
HOUSE,GA,10,False,0.0,0.3640000000000001,False,True,0.3640000000000001,2018
HOUSE,GA,11,False,0.0,0.1009999999999999,False,True,0.1009999999999999,2018
HOUSE,GA,12,False,0.0,0.2159999999999999,False,True,0.2159999999999999,2018
HOUSE,GA,13,False,-0.593,0.0,True,False,0.593,2018
HOUSE,GA,14,False,0.0,0.0,False,False,0.0,2018
HOUSE,HI,1,False,-0.24,0.0,True,False,0.24,2018
HOUSE,HI,2,False,0.245,0.0,True,False,-0.245,2018
HOUSE,IA,1,False,0.0,0.357,False,True,0.357,2018
HOUSE,IA,2,False,0.266,0.2949999999999999,True,True,0.0289999999999999,2018
HOUSE,IA,3,False,0.0,0.0689999999999999,False,True,0.0689999999999999,2018
HOUSE,IA,4,False,0.0,0.383,False,True,0.383,2018
HOUSE,ID,1,False,0.0,0.0,False,False,0.0,2018
HOUSE,ID,2,False,0.0,-0.369,False,True,-0.369,2018
HOUSE,IL,1,False,0.239,0.0,True,False,-0.239,2018
