office,state_po,special,side,candidate,tier,description
SEN,FL,True,dem,Angie Nixon,1,"Angie Nixon , state representative from the 13th district (2020–present)"
SEN,FL,True,rep,Ashley Moody,3,"Ashley Moody , incumbent U.S. senator (2025–present)"
SEN,OH,True,dem,Sherrod Brown,3,"Sherrod Brown , former U.S. senator (2007–2025)"
SEN,OH,True,rep,Jon Husted,3,"Jon Husted , incumbent U.S. senator (2025–present)"
SEN,AL,False,dem,Everett Wess,0,"Everett Wess, attorney and perennial candidate"
SEN,AL,False,rep,Barry Moore,2,"Barry Moore , U.S. representative from AL-1 (2021–present)"
SEN,AK,False,dem,Mary Peltola,2,
SEN,AK,False,rep,Gerald Heikes,0,
SEN,AK,False,rep,Dan J. Sullivan,0,
SEN,AK,False,rep,Dan S. Sullivan,3,
SEN,AR,False,dem,Hallie Shoffner,0,"Hallie Shoffner, farmer and entrepreneur"
SEN,AR,False,rep,Tom Cotton,3,"Tom Cotton , incumbent U.S. senator (2015–present)"
SEN,CO,False,dem,John Hickenlooper,3,"John Hickenlooper , incumbent U.S. senator"
SEN,CO,False,rep,Mark Baisley,1,"Mark Baisley , state senator from the 4th district (2023–present) (previously ran for governor )"
SEN,DE,False,dem,Chris Coons,3,"Chris Coons , incumbent U.S. senator (2010–present)"
SEN,DE,False,rep,Michael Katz,1,"Michael Katz , former Democratic state senator (2009–2013) and Independent Party nominee for U.S. Senate in 2024"
SEN,GA,False,dem,Jon Ossoff,3,"Jon Ossoff , incumbent U.S. senator (2021–present)"
SEN,GA,False,rep,Mike Collins,2,"Mike Collins , U.S. representative from Georgia's 10th congressional district (2023–present)"
SEN,IL,False,dem,Juliana Stratton,2,"Juliana Stratton , Lieutenant Governor of Illinois (2019–present)"
SEN,IL,False,rep,Don Tracy,0,"Don Tracy , former chair of the Illinois Republican Party (2021–2024), former member of the Illinois Gaming Board (2015–2019), candidate for lieutenant governor"
SEN,IA,False,dem,Josh Turek,1,"Josh Turek , state representative from the 20th district (2023–present)"
SEN,IA,False,rep,Ashley Hinson,2,"Ashley Hinson , U.S. representative from Iowa's 2nd congressional district (2021–present)"
SEN,KS,False,dem,Adam Hamilton,0,"Adam Hamilton , pastor and founder of the Church of the Resurrection  (initially formed exploratory committee as an independent)"
SEN,KS,False,rep,Roger Marshall,3,"Roger Marshall , incumbent U.S. senator (2021–present)"
SEN,KY,False,dem,Charles Booker,1,"Charles Booker , former state representative (2019–2021), nominee for U.S. Senate in 2022 and candidate in 2020"
SEN,KY,False,rep,Andy Barr,2,"Andy Barr , U.S. representative from Kentucky's 6th congressional district (2013–present)"
SEN,LA,False,dem,Jamie Davis,0,"Jamie Davis, former Tensas Parish police juror  and runner-up for Louisiana's 21st House of Representatives district in 2023"
SEN,LA,False,rep,Julia Letlow,2,"Julia Letlow , U.S. representative from Louisiana's 5th congressional district (2021–present)"
SEN,ME,False,dem,Troy Jackson,1,"Troy Jackson , former president of the Maine Senate (2018–2024), candidate for ME-02 in 2014 , and candidate for governor in 2026"
