office,form,left_out,b,mse_before,mse_after_oos
GOV,x_all,2018,0.13621706958423213,,
GOV,x_all,2022,3.4453110508747913,,
GOV,x_all,none,1.6684434655903662,200.21156344478663,221.0931431825444
GOV,x_close,2018,2.9910037924535113,,
GOV,x_close,2022,2.416622389181056,,
GOV,x_close,none,2.7396574030849834,200.21156344478663,194.70038119160373
HOUSE,x_all,2018,-0.21780294763570698,,
HOUSE,x_all,2020,-0.3469537610618427,,
HOUSE,x_all,2022,-0.7281131834473342,,
HOUSE,x_all,2024,-0.507702375114209,,
HOUSE,x_all,none,-0.44953677942376047,40.67245666697112,40.81751019269935
HOUSE,x_close,2018,0.4408052077472852,,
HOUSE,x_close,2020,-0.14901210770606824,,
HOUSE,x_close,2022,-0.9238181341774885,,
HOUSE,x_close,2024,-0.1518485049921188,,
HOUSE,x_close,none,-0.20635384322865058,40.67245666697112,41.03857649228447
SEN,x_all,2018,-0.6835130877014254,,
SEN,x_all,2020,-0.5962623995864244,,
SEN,x_all,2022,-0.6400832241046893,,
SEN,x_all,2024,-0.9713307037077322,,
SEN,x_all,none,-0.7206141248823045,100.85775268232216,98.81413578577546
SEN,x_close,2018,-0.5784661616051807,,
SEN,x_close,2020,0.7235954596174093,,
SEN,x_close,2022,-0.2091234159924675,,
SEN,x_close,2024,-0.5902986381707989,,
SEN,x_close,none,-0.15106484360876352,100.85775268232216,102.19351804536609
