year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,pres_margin,winner_prev,winner_side_prev,incumbent_side,resid_raw
2018,AK,0,131199,149779,DON YOUNG,R,"['GALVIN A', 'YOUNG D', 'WRITEIN']",-6.612617357942614,True,-16.81415929203539,DON YOUNG,R,-1,10.201541934092777
2018,AL,1,89226,153228,BRADLEY BYRNE,R,"['BYRNE B', 'KENNEDY R', 'WRITEIN']",-26.397584696478507,True,-30.122950819672134,BRADLEY BYRNE,R,-1,3.725366123193627
2018,AL,2,86931,138879,MARTHA ROBY,R,"['ROBY M', 'ISNER T', 'WRITEIN']",-23.00518134715026,True,-32.58426966292135,MARTHA ROBY,R,-1,9.579088315771092
2018,AL,3,83996,147770,MIKE ROGERS,R,"['HAGAN M', 'ROGERS M', 'WRITEIN']",-27.516546861921075,True,-33.81147540983607,MIKE ROGERS,R,-1,6.294928547914996
2018,AL,4,46492,184255,ROBERT ADERHOLT,R,"['AUMAN L', 'ADERHOLT R', 'WRITEIN']",-59.70305139395095,True,-64.41717791411043,ROBERT B ADERHOLT,R,-1,4.714126520159475
2018,AL,5,101388,159063,MO BROOKS,R,"['BROOKS M', 'JOFFRION P', 'WRITEIN']",-22.144280498059135,True,-34.79166666666667,MO BROOKS,R,-1,12.647386168607536
2018,AL,6,85644,192542,GARY PALMER,R,"['KLINE D', 'PALMER G', 'WRITEIN']",-38.42680796301755,True,-46.13003095975232,GARY J PALMER,R,-1,7.703222996734766
2018,AR,1,57907,138757,RICK CRAWFORD,R,"['DESAI C', 'PRESLEY E', 'CRAWFORD R']",-41.110726925110846,True,-36.55462184873949,"ERIC A \""RICK\"" CRAWFORD",R,0,-4.5561050763713595
2018,AR,2,116135,132125,FRENCH HILL,R,"['TUCKER C', 'HILL F', 'SWAFFORD J']",-6.44082816402159,True,-11.370882040382568,J FRENCH HILL,R,0,4.9300538763609785
2018,AR,3,74952,148717,STEVE WOMACK,R,"['MAHONY J', 'KALAGIAS M', 'WOMACK S', 'WRITEIN']",-32.97953672614444,True,-33.98268398268398,STEVE WOMACK,R,-1,1.0031472565395418
2018,AR,4,63984,136740,BRUCE WESTERMAN,R,"['WESTERMAN B', 'SHAMEL H', 'CANADA T', 'WRITEIN']",-36.246786632390744,True,-34.45026178010472,BRUCE WESTERMAN,R,-1,-1.7965248522860264
2018,AZ,1,143240,122784,TOM O'HALLERAN,D,"['HALLERAN T', 'ROGERS W', 'WRITEIN']",7.689531771569483,True,-1.1664899257688244,TOM O'HALLERAN,D,1,8.856021697338306
2018,AZ,2,161000,133083,ANN KIRKPATRICK,D,"['KIRKPATRICK A', 'PETERSON L', 'WRITEIN']",9.49289826341543,True,5.196182396606573,MARTHA MCSALLY,R,0,4.296715866808857
2018,AZ,3,114650,64868,RAUL GRIJALVA,D,"['PIERSON N', 'GRIJALVA R']",27.730923918492852,True,31.506849315068493,RAUL M GRIJALVA,D,1,-3.7759253965756407
2018,AZ,4,84521,188842,PAUL GOSAR,R,"['BRILL D', 'KNAUER H', 'GOSAR P']",-38.16207753060948,True,-42.226890756302524,PAUL A GOSAR,R,-1,4.064813225693044
2018,AZ,5,127027,186037,ANDY BIGGS,R,"['BIGGS A', 'GREENE J']",-18.849180998134567,True,-22.422954303931988,ANDY BIGGS,R,-1,3.5737733057974204
2018,AZ,6,140559,173140,DAVID SCHWEIKERT,R,"['MALIK A', 'SCHWEIKERT D']",-10.386070723846744,True,-10.548523206751055,DAVID SCHWEIKERT,R,-1,0.16245248290431036
