year,state_po,district,dem,rep,winner,winner_side,house_margin,contested,pres_margin,incumbent_side,resid_raw,year_effect,winner_sign,winner_edge,winner_key,winner_was_incumbent,known_pres,resid_known
2014,AK,0,114602,142572,DON YOUNG,R,-10.875905029279787,True,-14.611398963730565,0,3.735493934450778,-8.483432067568272,-1,-12.21892600201905,YOUNG D,False,,
2014,AL,1,48278,103758,BRADLEY BYRNE,R,-36.491357310110764,True,-24.59677419354839,0,-11.894583116562373,-8.483432067568272,-1,3.4111510489941015,BYRNE B,False,,
2014,AL,2,54692,113103,MARTHA ROBY,R,-34.81093000387377,True,-26.686807653575027,0,-8.124122350298745,-8.483432067568272,-1,-0.359309717269527,ROBY M,False,,
2014,AL,3,52816,103558,MIKE ROGERS,R,-32.4491283717242,True,-25.731584258324926,0,-6.717544113399274,-8.483432067568272,-1,-1.7658879541689974,ROGERS M,False,,
2014,AL,6,42291,135945,GARY PALMER,R,-52.54494041607756,True,-50.10101010101009,0,-2.443930315067469,-8.483432067568272,-1,-6.039501752500803,PALMER G,False,,
2014,AR,1,63555,124139,"ERIC A \""RICK\"" CRAWFORD",R,-32.27806962396241,True,-25.385405960945533,0,-6.892663663016876,-8.483432067568272,-1,-1.5907684045513957,CRAWFORD E,False,,
2014,AR,2,103477,123073,FRENCH HILL,R,-8.649746192893401,True,-12.090163934426235,0,3.4404177415328334,-8.483432067568272,-1,-11.923849809101105,HILL F,False,,
2014,AR,4,87742,110789,BRUCE WESTERMAN,R,-11.608766389128146,True,-26.50972364380758,0,14.900957254679433,-8.483432067568272,-1,-23.384389322247706,WESTERMAN B,False,,
2014,AZ,1,97391,87723,ANN KIRKPATRICK,D,5.2227276164957805,True,-2.5432349949135302,0,7.765962611409311,-8.483432067568272,1,16.24939467897758,KIRKPATRICK A,False,,
2014,AZ,2,109543,109704,MARTHA MCSALLY,R,-0.07343315986079627,True,-1.5259409969481181,0,1.452507837087322,-8.483432067568272,-1,-9.935939904655594,MCSALLY M,False,,
2014,AZ,3,58192,46185,RAUL M GRIJALVA,D,11.50349214865344,True,24.923702950152595,0,-13.420210801499156,-8.483432067568272,1,-4.936778733930884,GRIJALVA R,False,,
2014,AZ,4,45179,122560,PAUL A GOSAR,R,-46.13178807552209,True,-36.86354378818738,0,-9.26824428733471,-8.483432067568272,-1,0.7848122197664384,GOSAR P,False,,
2014,AZ,5,54596,124867,MATT SALMON,R,-39.156260621966645,True,-29.674796747967473,0,-9.481463873999171,-8.483432067568272,-1,0.9980318064309,SALMON M,False,,
2014,AZ,6,70198,129578,DAVID SCHWEIKERT,R,-29.723290084895083,True,-21.057985757884033,0,-8.66530432701105,-8.483432067568272,-1,0.18187225944277863,SCHWEIKERT D,False,,
2014,AZ,9,88609,67841,KYRSTEN SINEMA,D,13.274528603387663,True,4.605936540429887,0,8.668592062957776,-8.483432067568272,1,17.152024130526048,SINEMA K,False,,
2014,CA,1,84320,132052,DOUG LAMALFA,R,-22.06015565784852,True,-16.82146542827658,0,-5.23869022957194,-8.483432067568272,-1,-3.2447418379963313,LAMALFA D,False,,
2014,CA,2,163124,54400,JARED HUFFMAN,D,49.98253066328313,True,43.75,0,6.2325306632831285,-8.483432067568272,1,14.7159627308514,HUFFMAN J,False,,
2014,CA,3,79224,71036,JOHN GARAMENDI,D,5.449221349660588,True,11.49897330595482,0,-6.049751956294232,-8.483432067568272,1,2.4336801112740396,GARAMENDI J,False,,
2014,CA,6,97008,36448,DORIS O MATSUI,D,45.3782520081525,True,41.889117043121146,0,3.4891349650313543,-8.483432067568272,1,11.972567032599626,MATSUI D,False,,
2014,CA,7,92521,91066,AMI BERA,D,0.7925397767815804,True,4.0983606557377055,0,-3.305820878956125,-8.483432067568272,1,5.177611188612147,BERA A,False,,
2014,CA,8,37056,77480,PAUL COOK,R,-35.2937067821471,True,-14.285714285714281,0,-21.007992496432816,-8.483432067568272,-1,12.524560428864545,COOK P,False,,
2014,CA,9,63475,57729,JERRY MCNERNEY,D,4.740767631431306,True,18.079673135852904,0,-13.338905504421597,-8.483432067568272,1,-4.855473436853325,MCNERNEY J,False,,
2014,CA,10,55123,70582,JEFF DENHEM,R,-12.297840181377033,True,3.6885245901639356,0,-15.98636477154097,-8.483432067568272,-1,7.502932703972698,DENHEM J,False,,
2014,CA,11,117502,57160,MARK DESAULNIER,D,34.54786959956945,True,38.52459016393443,0,-3.9767205643649746,-8.483432067568272,1,4.506711503203297,DESAULNIER M,False,,
2014,CA,12,160067,32197,NANCY PELOSI,D,66.50751050638705,True,74.12008281573499,0,-7.612572309347939,-8.483432067568272,1,0.8708597582203321,PELOSI N,False,,
2014,CA,14,114389,34757,JACKIE SPEIER,D,53.39197832995856,True,51.73824130879345,0,1.6537370211651137,-8.483432067568272,1,10.137169088733385,SPEIER J,False,,
2014,CA,15,99756,43150,ERIC SWALWELL,D,39.61065315662044,True,39.059304703476485,0,0.5513484531439516,-8.483432067568272,1,9.034780520712223,SWALWELL E,False,,
2014,CA,16,46277,44943,JIM COSTA,D,1.4623985967989477,True,19.59183673469388,0,-18.129438137894933,-8.483432067568272,1,-9.646006070326662,COSTA J,False,,
2014,CA,18,133060,63326,ANNA G ESHOO,D,35.50864114549917,True,40.473738414006185,0,-4.965097268507016,-8.483432067568272,1,3.5183347990612557,ESHOO A,False,,
2014,CA,21,33470,45907,DAVID G VALADAO,R,-15.668266626352722,True,11.314984709480125,0,-26.983251335832847,-8.483432067568272,-1,18.499819268264574,VALADAO D,False,,
2014,CA,22,37289,96053,DEVIN NUNES,R,-44.07013544119632,True,-15.274949083503055,0,-28.795186357693268,-8.483432067568272,-1,20.311754290124995,NUNES D,False,,
2014,CA,23,33726,100317,KEVIN MCCARTHY,R,-49.67883440388532,True,-26.024590163934427,0,-23.65424423995089,-8.483432067568272,-1,15.17081217238262,MCCARTHY K,False,,
2014,CA,24,103228,95566,LOIS CAPPS,D,3.8542410736742556,True,11.316872427983538,0,-7.462631354309282,-8.483432067568272,1,1.0208007132589891,CAPPS L,False,,
2014,CA,26,87176,82653,JULIA BROWNLEY,D,2.663267168740321,True,10.542476970317296,0,-7.879209801576975,-8.483432067568272,1,0.6042222659912966,BROWNLEY J,False,,
2014,CA,27,75728,51852,JUDY CHU,D,18.71453205831635,True,28.278688524590166,0,-9.564156466273815,-8.483432067568272,1,-1.0807243987055433,CHU J,False,,
2014,CA,29,50096,17045,TONY CARDENAS,D,49.226255194292605,True,57.94871794871795,0,-8.722462754425344,-8.483432067568272,1,-0.23903068685707218,CARDENAS T,False,,
2014,CA,30,86568,45315,BRAD SHERMAN,D,31.279998180205183,True,34.086242299794655,0,-2.806244119589472,-8.483432067568272,1,5.677187947978799,SHERMAN B,False,,
2014,CA,31,51622,48162,PETE AGUILAR,D,3.4674897779203078,True,16.973415132924337,0,-13.50592535500403,-8.483432067568272,1,-5.022493287435758,AGUILAR P,False,,
2014,CA,32,50353,34053,GRACE F NAPOLITANO,D,19.311423358529016,True,33.46980552712385,0,-14.158382168594837,-8.483432067568272,1,-5.674950101026566,NAPOLITANO G,False,,
2014,CA,33,108331,74700,TED LIEU,D,18.374483011074627,True,24.435318275154007,0,-6.06083526407938,-8.483432067568272,1,2.422596803488892,LIEU T,False,,
2014,CA,36,72682,61457,RAUL RUIZ,D,8.368185240683172,True,3.2586558044806546,0,5.109529436202517,-8.483432067568272,1,13.592961503770788,RUIZ R,False,,
2014,CA,37,96787,18051,KAREN BASS,D,68.56267089291,True,73.97540983606557,0,-5.41273894315556,-8.483432067568272,1,3.0706931244127116,BASS K,False,,
2014,CA,38,58192,40288,LINDA T SANCHEZ,D,18.18034118602762,True,32.58426966292135,0,-14.403928476893732,-8.483432067568272,1,-5.920496409325461,SANCHEZ L,False,,
2014,CA,39,41906,91319,EDWARD R ROYCE,R,-37.089885531994746,True,-3.7793667007150105,0,-33.31051883127974,-8.483432067568272,-1,24.827086763711463,ROYCE E,False,,
2014,CA,41,46948,35936,MARK TAKANO,D,13.286038318613967,True,25.766871165644176,0,-12.480832847030209,-8.483432067568272,1,-3.9974007794619375,TAKANO M,False,,
2014,CA,42,38850,74540,KEN CALVERT,R,-31.47543875121263,True,-15.423901940755874,0,-16.051536810456753,-8.483432067568272,-1,7.568104742888481,CALVERT K,False,,
2014,CA,43,69681,28521,MAXINE WATERS,D,41.91360664752246,True,59.183673469387756,0,-17.2700668218653,-8.483432067568272,1,-8.786634754297028,WATERS M,False,,
2014,CA,45,56819,106083,MIMI WALTERS,R,-30.241494886496177,True,-12.065439672801634,0,-18.176055213694543,-8.483432067568272,-1,9.692623146126271,WALTERS M,False,,
2014,CA,46,49738,33577,LORETTA SANCHEZ,D,19.397467442837424,True,25.819672131147538,0,-6.422204688310114,-8.483432067568272,1,2.061227379258158,SANCHEZ L,False,,
2014,CA,47,69091,54309,ALAN S LOWENTHAL,D,11.978930307941653,True,23.076923076923077,0,-11.097992768981424,-8.483432067568272,1,-2.6145607014131524,LOWENTHAL A,False,,
