pollster,partisan,sponsors,start_date,end_date,sample_size,population,dem_pct,rep_pct,url,source
Cygnal,,,2024-12-09,2024-12-11,1500.0,lv,44.6,48.4,https://www.cygn.al/poll-musk-most-effective-trump-surrogate-as-voters-rally-behind-doge-deportations-and-congressional-republicans/,votehub
McLaughlin & Associates,,,2024-12-11,2024-12-16,1000.0,lv,42.0,47.0,https://mclaughlinonline.com/2024/12/18/ma-poll-national-monthly-december-2024/,votehub
Cygnal,,,2025-01-09,2025-01-12,1500.0,lv,44.6,46.8,https://data.ddhq.io/polls/2025/03/19/Cygnal-National,ddhq
RMG Research / Napolitan News Service,,,2025-01-15,2025-01-16,1000.0,rv,44.0,51.0,https://data.ddhq.io/polls/2025/03/20/RMG Research/Napolitan News Service-National,ddhq
Quantus Insights / TrendingPolitics,,,2025-01-22,2025-01-23,1000.0,rv,44.7,48.2,https://data.ddhq.io/polls/2025/03/20/Quantus Insights/TrendingPolitics-National,ddhq
McLaughlin & Associates,,,2025-01-22,2025-01-27,1000.0,rv,40.0,48.0,https://data.ddhq.io/polls/2025/03/21/McLaughlin & Associates-National,ddhq
"Fabrizio, Lee & Associates / Impact Research / AARP",,,2025-01-27,2025-02-01,1000.0,rv,43.0,43.0,"https://data.ddhq.io/polls/2025/03/23/Fabrizio, Lee & Associates/Impact Research/AARP-National",ddhq
Cygnal,,,2025-02-04,2025-02-05,1500.0,lv,46.2,47.2,https://data.ddhq.io/polls/2025/03/22/Cygnal-National,ddhq
Clarity Campaign Labs,,,2025-01-31,2025-02-06,1102.0,rv,45.0,44.0,https://data.ddhq.io/polls/2025/03/21/Clarity Campaign Labs-National,ddhq
Quantus Insights / TrendingPolitics,,,2025-02-10,2025-02-12,1000.0,rv,44.2,48.3,https://data.ddhq.io/polls/2025/03/22/Quantus Insights/TrendingPolitics-National,ddhq
Echelon Insights,,,2025-02-10,2025-02-13,1010.0,lv,46.0,47.0,https://data.ddhq.io/polls/2025/04/03/Echelon Insights-National,ddhq
co/efficient,,,2025-02-15,2025-02-17,2063.0,lv,44.0,46.0,https://data.ddhq.io/polls/2025/03/23/co/efficient-National,ddhq
McLaughlin & Associates / U.S. Chamber of Commerce,,,2025-02-13,2025-02-17,800.0,lv,43.0,47.0,https://data.ddhq.io/polls/2025/03/24/McLaughlin & Associates/U.S. Chamber of Commerce-National,ddhq
YouGov / The Economist,,,2025-02-16,2025-02-18,1450.0,rv,42.0,41.0,https://data.ddhq.io/polls/2025/04/03/YouGov/The Economist-National-2025-02-16-2025-02-18,ddhq
McLaughlin & Associates,,,2025-02-11,2025-02-18,1000.0,rv,41.0,48.0,https://data.ddhq.io/polls/2025/03/23/McLaughlin & Associates-National,ddhq
YouGov / The Economist,,,2025-02-16,2025-02-18,1602.0,a,35.0,37.0,https://data.ddhq.io/polls/2025/04/03/YouGov/The Economist-National-2025-02-16-2025-02-18,ddhq
RMG Research / Napolitan News Service,,,2025-02-20,2025-02-21,1000.0,rv,44.0,46.0,https://data.ddhq.io/polls/2025/03/23/RMG Research/Napolitan News Service-National,ddhq
