state_po,special,incumbent,incumbent_party,status_text,dem_candidate,rep_candidate,other_candidates,n_dem,n_rep,incumbent_running,pres20_margin,pres24_margin,race_type,race_note
AL,False,Kay Ivey,R,Term-limited,Doug Jones,Tommy Tuberville,,1,1,False,-25.822749666709445,-30.88122385938789,standard,
AK,False,Mike Dunleavy,R,Term-limited,Jonathan Kreiss-Tomkins,Dave Bronson; Treg Taylor; Bernadette Wilson,,1,3,False,-10.523697447698623,-13.69312508474994,rcv_bloc,
AZ,False,Katie Hobbs,D,Incumbent renominated,Katie Hobbs,Andy Biggs,Teri Hourihan (No Labels); Risa Lombardo (Green),1,1,True,0.31366335825862696,-5.588317921733368,standard,
AR,False,Sarah Huckabee Sanders,R,Incumbent renominated,Fredrick Love,Sarah Huckabee Sanders,Colt Shelby (Libertarian),1,1,True,-28.424866555966297,-31.33998647229675,standard,
CA,False,Gavin Newsom,D,Term-limited,Xavier Becerra,Steve Hilton,,1,1,False,29.817822721335137,20.80028514359668,standard,
CO,False,Jared Polis,D,Term-limited,Phil Weiser,Victor Marx,Stephen Hamilton (American Constitution); Greg Lopez (Independent); Eric Mulder (Libertarian); Jeff Peckman (Unity); Erik Underwood (Approval Voting),1,1,False,13.876638984600305,11.293083462132921,standard,
CT,False,Ned Lamont,D,Incumbent renominated,Ned Lamont,Ryan Fazio,,1,1,True,20.390098176155693,14.756464972518335,standard,
FL,False,Ron DeSantis,R,Term-limited,David Jolly,Byron Donalds,Dean Abrams (Independent); Charles Burkett (Independent); Jeffrey Datto (Independent); Moe Dimanche (Independent); Scott Jewett (Libertarian); Frank Russo (Independent),1,1,False,-3.389509324283115,-13.22213886698459,standard,
GA,False,Brian Kemp,R,Term-limited,Keisha Lance Bottoms,Rick Jackson,,1,1,False,0.23865932581729016,-2.2087323027962817,standard,
HI,False,Josh Green,D,Incumbent renominated,Josh Green,Gary Cordery,,1,1,True,30.065329293029766,23.560651661222998,standard,
ID,False,Brad Little,R,Incumbent renominated,Terri Pickens,Brad Little,Pro-Life (Constitution); Paul Sand (Libertarian); John Stegner (Independent),1,1,True,-31.754285850155743,-37.52184118025308,standard,
