state_po,district,incumbent,incumbent_party,status_text,dem_candidate,rep_candidate,other_candidates,n_dem,n_rep,incumbent_running,paired_incumbents,harris24,trump24,total24,biden20,trump20,total20,pres24_margin,pres20_margin,lines_changed,race_type,race_note
AK,0,Nick Begich III,R,Incumbent advanced to general,Eric Hafner,Nick Begich III,Bill Hill (Independent); Jim McDermott (Libertarian),1,1,True,1,140026,184458,338177,153778.0,189951.0,357569.0,-13.69312508474994,-10.523697447698623,False,independent,Bill Hill
AL,1,None (new seat),,New representative to be elected,Clyde Jones Jr.,Jerry Carl,,1,1,False,1,103117,220873,326952,,,,-36.345566221179666,,True,standard,
AL,2,Shomari Figures,D,Incumbent renominated,Shomari Figures,Rhett Marques,,1,1,True,2,123966,165891,292303,,,,-14.464028814208385,,True,standard,
AL,3,Mike Rogers,R,Incumbent renominated,Lee McInnis,Mike Rogers,,1,1,True,1,82654,229676,314869,,,,-47.07264752025102,,True,standard,
AL,4,Robert Aderholt,R,Incumbent renominated,Amanda Pusczek,Robert Aderholt,,1,1,True,1,53098,267953,323449,,,,-66.92238927771601,,True,standard,
AL,5,Dale Strong,R,Incumbent renominated,Andrew Sneed,Dale Strong,,1,1,True,1,122344,224704,351650,,,,-29.494479149858233,,True,standard,
AL,6,Gary Palmer,R,Incumbent renominated,Maurice Mercer,Gary Palmer,,1,1,True,1,111288,231122,346221,,,,-34.997225548319264,,True,standard,
AL,7,Terri Sewell,D,Incumbent renominated,Terri Sewell,Ammie Akin,,1,1,True,1,175944,122397,300907,,,,17.94825384375597,,True,standard,
AR,1,Rick Crawford,R,Incumbent renominated,Terri Green,Rick Crawford,Steve Parsons (Libertarian),1,1,True,1,72183,196035,273446,80516.0,197832.0,286792.0,-46.175871865422906,-42.147240145429464,False,standard,
AR,2,French Hill,R,Incumbent renominated,Chris Jones,French Hill,,1,1,True,1,131089,180710,319500,140254.0,183964.0,333041.0,-15.914419225205982,-13.481669740730002,False,standard,
AR,3,Steve Womack,R,Incumbent renominated,Robb Ryerse,Steve Womack,Bobby Wilson (Libertarian),1,1,True,1,112073,189161,309672,110479.0,180794.0,300274.0,-25.590736769421778,-24.140582889591553,False,standard,
AR,4,Bruce Westerman,R,Incumbent renominated,James Russell,Bruce Westerman,,1,1,True,1,81560,193335,280058,92683.0,198057.0,298962.0,-40.66097964677422,-36.24337896402284,False,standard,
AZ,1,David Schweikert,,Incumbent retiring to run for governor,Amish Shah,Jay Feely,Monica Alponte (Libertarian),1,1,False,1,216232,230237,450734,231887.0,225013.0,462784.0,-3.136835928138348,1.5044867585905013,False,standard,
AZ,2,Eli Crane,R,Incumbent renominated,Jonathan Nez,Eli Crane,Curtis Goodwin (Libertarian),1,1,True,1,174969,237306,416477,183714.0,215659.0,405633.0,-15.120247407676915,-7.998788100347294,False,standard,
AZ,3,Yassamin Ansari,D,Incumbent renominated,Yassamin Ansari,,Alan Aversa (No Labels); David Redkey (Green),1,0,True,1,147522,62762,213222,170840.0,54754.0,229285.0,40.30739381027563,51.457928845625325,False,same_party,D
AZ,4,Greg Stanton,D,Incumbent renominated,Greg Stanton,Zuhdi Jasser,Tisha Benoit (No Labels),1,1,True,1,182893,159723,347506,201238.0,162975.0,371497.0,6.762673080066313,10.505665640710244,False,standard,
AZ,5,Andy Biggs,,Incumbent retiring to run for governor,Elizabeth Lee,Mark Lamb,,1,1,False,1,175673,264571,445025,171278.0,239646.0,417419.0,-20.192893032045866,-16.637626422404143,False,standard,
AZ,6,Juan Ciscomani,R,Incumbent renominated,JoAnna Mendoza,Juan Ciscomani,Jereme Peters (Libertarian); Gary Swing (Green),1,1,True,1,216024,219323,440175,214896.0,214580.0,436079.0,-0.7577863175811479,0.07357803462824465,False,standard,
AZ,7,Adelita Grijalva,D,Incumbent renominated,Adelita Grijalva,Daniel Butierez,,1,1,True,1,170352,108028,281685,194860.0,97580.0,296840.0,22.388102593577123,33.264943236219395,False,standard,
