state_po,district,incumbent,incumbent_party,status_text,dem_candidate,rep_candidate,other_candidates,n_dem,n_rep,incumbent_running,paired_incumbents,harris24,trump24,total24,biden20,trump20,total20,pres24_margin,pres20_margin,lines_changed,race_type,race_note,office,special
AK,0.0,Nick Begich III,R,Incumbent advanced to general,Eric Hafner,Nick Begich III,Bill Hill (Independent); Jim McDermott (Libertarian),1,1,True,1.0,140026.0,184458.0,338177.0,153778.0,189951.0,357569.0,-13.69312508474994,-10.523697447698623,False,rcv_bloc,,HOUSE,
AZ,3.0,Yassamin Ansari,D,Incumbent renominated,Yassamin Ansari,,Alan Aversa (No Labels); David Redkey (Green),1,0,True,1.0,147522.0,62762.0,213222.0,170840.0,54754.0,229285.0,40.30739381027563,51.457928845625325,False,same_party,D,HOUSE,
CA,4.0,Mike Thompson,D,Incumbent advanced to general. Democratic hold.,Eric Jones; Mike Thompson,,,2,0,True,1.0,191846.0,141949.0,344131.0,,,,14.94839647088782,,True,same_party,D,HOUSE,
CA,6.0,Kevin Kiley,,Incumbent advanced to general,Richard Pan,,Kevin Kiley (Independent),1,0,False,1.0,176946.0,148674.0,336566.0,,,,8.682513359130274,,True,independent,Kevin Kiley,HOUSE,
CA,7.0,Doris Matsui,D,Incumbent advanced to general. Democratic hold.,Doris Matsui; Mai Vang,,,2,0,True,1.0,189995.0,145560.0,346796.0,,,,13.242240467285542,,True,same_party,D,HOUSE,
CA,11.0,Nancy Pelosi,,Incumbent retiring. Democratic hold.,Connie Chan; Scott Wiener,,,2,0,False,1.0,295463.0,50870.0,361182.0,,,,70.62364833844883,,True,same_party,D,HOUSE,
CA,12.0,Lateefah Simon,D,Incumbent advanced to general Democratic hold.,Jamie Joyce; Lateefah Simon,,,2,0,True,1.0,269144.0,33875.0,318388.0,,,,77.64166603414307,,True,same_party,D,HOUSE,
CA,14.0,Aisha Wahab,D,Incumbent advanced to general. Democratic hold.,Melissa Hernandez; Aisha Wahab,,,2,0,True,1.0,186745.0,87471.0,285569.0,,,,36.20284739037839,,True,same_party,D,HOUSE,
CA,29.0,Luz Rivas,D,Incumbent advanced to general. Democratic hold.,Angelica Dueñas; Luz Rivas,,,2,0,True,1.0,156025.0,75625.0,239016.0,,,,34.707532916037124,,True,same_party,D,HOUSE,
CA,34.0,Jimmy Gomez,D,Incumbent advanced to general. Democratic hold.,Jimmy Gomez; Angela Gonzales-Torres,,,2,0,True,1.0,156729.0,48090.0,214525.0,,,,53.04146587963031,,True,same_party,D,HOUSE,
CA,37.0,Sydney Kamlager-Dove,D,Incumbent advanced to general. Democratic hold.,Sydney Kamlager-Dove; Samantha Mota,,,2,0,True,1.0,184950.0,42949.0,235124.0,,,,62.30874203046086,,True,same_party,D,HOUSE,
CA,40.0,Young Kim,R,Incumbent advanced to general. Republican hold.,,Ken Calvert; Young Kim,,0,2,True,2.0,161640.0,208262.0,381211.0,,,,-12.603878865212948,,True,same_party,R,HOUSE,
FL,10.0,Maxwell Frost,D,Incumbent re-elected,Maxwell Frost,,,1,0,True,1.0,183316.0,111658.0,298720.0,,,,24.292988534582708,,True,same_party,D,HOUSE,
LA,1.0,Steve Scalise,R,Incumbent running,Lauren Jewett,Randall Arrington; Steve Scalise,Liddy Glass (Independent),1,2,True,1.0,108441.0,246801.0,361900.0,,,,-38.94809735335349,,True,jungle,,HOUSE,
LA,2.0,Troy Carter,D,Incumbent running,Troy Carter; Renada Collins,Peter Williams,Lisa Ballay (Libertarian); Walter Beach (Independent),2,1,True,1.0,222904.0,77618.0,306729.0,,,,48.34454715461763,,True,jungle,,HOUSE,
LA,3.0,Clay Higgins,R,Incumbent running,John Day; Priscilla Gonzalez; Tia LeBrun; Caleb Walker,Kate Cotten; Clay Higgins,,4,2,True,1.0,105523.0,226788.0,336856.0,,,,-36.49141918263314,,True,jungle,,HOUSE,
LA,4.0,Mike Johnson,R,Incumbent running,Conrad Cable; Matt Gromlich,Gordon Heslop; Mike Johnson; Mike Nichols,,2,3,True,1.0,103444.0,213190.0,320591.0,,,,-34.66020705293809,,True,jungle,,HOUSE,
LA,5.0,Julia Letlow,,Incumbent retiring to run for U.S. Senate,Dan McKay; Patricia Moore; Antonio Wilson,Stewart Cathey Jr.; Misti Cordell; Omar Dantzler; Michael Echols; Gabe Firment; Austin Magee,,3,6,False,1.0,103796.0,212946.0,320662.0,,,,-34.46022314691452,,True,jungle,,HOUSE,
LA,6.0,Cleo Fields,,Incumbent retiring to run for Louisiana State Senate,Pat Forbes; Lindsay Garcia,Monique Appeaning; Larry Davis; Rick Edmonds; Chris Johnson; Michael Mebruer; Blake Miguez; Stephen Wagley,Rufus Craig (Libertarian),2,7,False,1.0,122761.0,231162.0,360237.0,,,,-30.628413524975773,,True,jungle,,HOUSE,
MA,1.0,Richard Neal,D,Incumbent renominated,Richard Neal,,Nadia Milleron (Independent),1,0,True,1.0,211784.0,160045.0,379806.0,235190.0,150037.0,393141.0,13.91472962033623,22.104629218616555,False,same_party,D,HOUSE,
MA,2.0,Jim McGovern,D,Incumbent re-elected,Jim McGovern,,,1,0,True,1.0,231966.0,141308.0,382912.0,254528.0,132546.0,395665.0,24.287252795533576,31.51387073272811,False,same_party,D,HOUSE,
MA,5.0,Katherine Clark,D,Incumbent re-elected,Katherine Clark,,,1,0,True,1.0,265591.0,97371.0,372437.0,298842.0,94405.0,399703.0,46.346449490580284,51.98691916276539,False,same_party,D,HOUSE,
MA,7.0,Ayanna Pressley,D,Incumbent re-elected,Ayanna Pressley,,,1,0,True,1.0,222693.0,47009.0,278443.0,269381.0,41245.0,314904.0,65.14004345536927,73.4439486713926,False,same_party,D,HOUSE,
NJ,8.0,Rob Menendez,D,Incumbent renominated,Rob Menendez,,Aristotle Eliopoulos (Independent); Craig Honts (Independent); Da'Shone Hughey (Independent),1,0,True,1.0,135328.0,81523.0,222455.0,173894.0,64633.0,241039.0,24.811967664433183,45.80655439426145,False,same_party,D,HOUSE,
