state_po,special,incumbent,incumbent_party,status_text,dem_candidate,rep_candidate,other_candidates,n_dem,n_rep,incumbent_running,pres20_margin,pres24_margin,race_type,race_note
FL,True,Ashley Moody,R,Interim appointee nominated,Angie Nixon,Ashley Moody,Neil Gillespie (Independent),1,1,True,-3.389509324283115,-13.22213886698459,standard,
OH,True,Jon Husted,R,Interim appointee nominated,Sherrod Brown,Jon Husted,Greg Levy (Independent); William Redpath (Libertarian),1,1,True,-8.153395295405433,-11.313229427274072,standard,
AL,False,Tommy Tuberville,R,Incumbent retiring to run for governor,Everett Wess,Barry Moore,,1,1,False,-25.822749666709445,-30.88122385938789,standard,
AK,False,Dan Sullivan,R,Incumbent advanced to general,Mary Peltola,Gerald Heikes; Dan J. Sullivan; Dan S. Sullivan,,1,3,True,-10.523697447698623,-13.69312508474994,rcv_bloc,
AR,False,Tom Cotton,R,Incumbent renominated,Hallie Shoffner,Tom Cotton,Jeff Wadlin (Libertarian),1,1,True,-28.424866555966297,-31.33998647229675,standard,
CO,False,John Hickenlooper,D,Incumbent renominated,John Hickenlooper,Mark Baisley,Christopher Baum (Approval Voting); Bob Chew (Forward); Blake Huber (Libertarian); Adam Withrow (Unity),1,1,True,13.876638984600305,11.293083462132921,standard,
DE,False,Chris Coons,D,Incumbent renominated,Chris Coons,Michael Katz,,1,1,True,19.253488329968945,14.958471282996337,standard,
GA,False,Jon Ossoff,D,Incumbent renominated,Jon Ossoff,Mike Collins,,1,1,True,0.23865932581729016,-2.2087323027962817,standard,
ID,False,Jim Risch,R,Incumbent renominated,,Jim Risch,Todd Achilles (Independent); Natalie Fleming (Independent); Matt Loesby (Libertarian),0,1,True,-31.754285850155743,-37.52184118025308,same_party,R
IL,False,Dick Durbin,D,Incumbent retiring,Juliana Stratton,Don Tracy,Whitfield Harrington Jr. (Independent),1,1,False,17.318087465613843,11.135530816543426,standard,
IA,False,Joni Ernst,R,Incumbent retiring,Josh Turek,Ashley Hinson,Thomas Laehn (Libertarian),1,1,False,-8.366526169274108,-13.445597709596235,standard,
KS,False,Roger Marshall,R,Incumbent renominated,Adam Hamilton,Roger Marshall,David Graham (Libertarian),1,1,True,-14.986856511262706,-16.411473894550323,standard,
KY,False,Mitch McConnell,R,Incumbent retiring,Charles Booker,Andy Barr,Christopher Campbell (Independent),1,1,False,-26.400205800525935,-31.02814203220417,standard,
LA,False,Bill Cassidy,R,Incumbent lost renomination,Jamie Davis,Julia Letlow,,1,1,False,-18.9288809125821,-22.357020818831867,standard,
ME,False,Susan Collins,R,Incumbent renominated,Troy Jackson,Susan Collins,,1,1,True,9.340809164007947,7.08861163994892,standard,
MA,False,Ed Markey,D,Incumbent renominated,Ed Markey,John Deaton,Shiva Ayyadurai (Independent); Joe Tache (Socialism and Liberation),1,1,True,34.231099080296296,25.910638840838516,standard,
MI,False,Gary Peters,D,Incumbent retiring,Abdul El-Sayed,Mike Rogers,Lydia Christensen (Libertarian); Walter P. Kristy (Natural Law); Tim Long (U.S. Taxpayers); Douglas P. Marsh (Green),1,1,False,2.8271186888189206,-1.4424736578339323,standard,
MN,False,Tina Smith,D,Incumbent retiring,Peggy Flanagan,Michele Tafoya,Marisa Simonetti (Independent); Rebecca Whiting (Libertarian),1,1,False,7.279027297133336,4.343404352188957,standard,
MS,False,Cindy Hyde-Smith,R,Incumbent renominated,Scott Colom,Cindy Hyde-Smith,Ty Pinkins (Independent),1,1,True,-16.76997165477772,-23.145028211183686,standard,
MT,False,Steve Daines,R,Incumbent retiring,Alani Bankhead,Kurt Alme,Kyle Austin (Libertarian); Seth Bodnar (Independent),1,1,False,-16.79436018409621,-20.5780970401637,standard,
NE,False,Pete Ricketts,R,Incumbent renominated,,Pete Ricketts,Chuck Conboy (America First); Mike Marvin (Legal Marijuana Now); Dan Osborn (Independent); Robin Richards (Working People),0,1,True,-19.568104493203453,-20.840683303897794,independent,Dan Osborn
NH,False,Jeanne Shaheen,D,Incumbent retiring,Chris Pappas,John E. Sununu,Edmond LaPlante (Constitution),1,1,False,7.496695443190083,2.821214946726764,standard,
NJ,False,Cory Booker,D,Incumbent renominated,Cory Booker,Justin Murphy,Veronica Fernandez (Independent); Joanne Kuniansky (Socialist Workers),1,1,True,16.142567173589686,6.027747433233515,standard,
NM,False,Ben Ray Luján,D,Incumbent renominated,Ben Ray Luján,Larry Marker,,1,1,True,11.036980303439483,6.141812228647307,standard,
NC,False,Thom Tillis,R,Incumbent retiring,Roy Cooper,Michael Whatley,Shannon Bray (Libertarian); Michael Dublin (Green),1,1,False,-1.3683650663734495,-3.260680202600806,standard,
OK,False,Alan S. Armstrong,R,Interim appointee ineligible to run,N'Kiyla Jasmine Thomas,Kevin Hern,Ron Meinhardt (Independent); Curtis Stinnett (Independent); Sevier White (Libertarian),1,1,False,-33.88007899381303,-34.94008381234161,standard,
OR,False,Jeff Merkley,D,Incumbent renominated,Jeff Merkley,David Brock Smith,Gary Lyndon Dye (Libertarian); Brett Smith (Pacific Green),1,1,True,16.61431397088346,14.866116069775194,standard,
RI,False,Jack Reed,D,Incumbent renominated,Jack Reed,Raymond McKay,Michael Bahry (Independent),1,1,True,21.19871976791852,14.162406267890672,standard,
SC,False,Darline Graham,R,Interim appointee nominated in runoff,Annie Andrews,Darline Graham,Mark Hackett (Constitution); Kasie Whitener (Libertarian),1,1,True,-11.853217499164192,-18.123365227038146,standard,
SD,False,Mike Rounds,R,Incumbent renominated,,Mike Rounds,Brian Bengs (Independent),0,1,True,-26.869559723362997,-29.890199073853058,same_party,R
TN,False,Bill Hagerty,R,Incumbent renominated,Marquita Bradshaw,Bill Hagerty,Tharon Chandler (Independent); Andrew Gerena (Independent); Jeremy Hearn (Independent); Robert Jones (Independent); James Macon III (Independent); Yoshi Matthews (Independent); David Sutman Jr. (Independent); Catherine Whitson (Independent),1,1,True,-23.655540744132708,-30.121099654993333,standard,
TX,False,John Cornyn,R,Incumbent lost renomination in runoff,James Talarico,Ken Paxton,Ted Brown (Libertarian),1,1,False,-5.661442473559064,-13.878067801618457,standard,
VA,False,Mark Warner,D,Incumbent renominated,Mark Warner,Bert Mizusawa,,1,1,True,10.309373998799817,5.891296826702209,standard,
WV,False,Shelley Moore Capito,R,Incumbent renominated,Rachel Fetty Anderson,Shelley Moore Capito,S. Marshall Wilson (Constitution),1,1,True,-39.597064627844055,-42.687784560047604,standard,
WY,False,Cynthia Lummis,R,Incumbent retiring,James W. Byrd,Harriet Hageman,,1,1,False,-44.960868751170196,-46.95834604821483,standard,
