date,state_po,district,held_by,winner,flipped,chamber,special_margin,pres_margin,overperformance,pres_baseline,year
2016-12-27,IA,SD-45,D,D,False,US House,48.0,17.0,31.0,2016,2016
2017-01-10,VA,SD-22,R,R,False,US House,-14.0,-14.0,1.0,2016,2017
2017-01-10,VA,HD-85,R,R,False,US House,-6.0,-1.0,-5.0,2016,2017
2017-01-31,IA,HD-89,D,D,False,US House,45.0,11.0,34.0,2016,2017
2017-02-14,MN,HD-32B,R,R,False,state legislature,-6.0,-29.0,23.0,2016,2017
2017-02-25,DE,SD-10,D,D,False,US House,17.0,13.0,4.0,2016,2017
2017-02-28,CT,HD-115,D,D,False,US House,29.0,18.0,11.0,2016,2017
2017-02-28,CT,SD-32,R,R,False,US House,-10.0,-18.0,8.0,2016,2017
2017-02-28,CT,SD-02,D,D,False,US House,47.0,69.0,-22.0,2016,2017
2017-04-11,KS,KS-04,R,R,False,US House,-6.0,-27.0,21.0,2016,2017
2017-04-25,CT,HD-68,R,R,False,US House,-56.0,-33.0,-23.0,2016,2017
2017-05-09,OK,HD-28,R,R,False,US House,-2.0,-50.0,48.0,2016,2017
2017-05-16,GA,SD-32,R,R,False,US House,-14.0,-14.0,0.1,2016,2017
2017-05-23,NH,HD-Carroll-06,R,D,True,state legislature,4.0,-7.0,11.0,2016,2017
2017-05-23,NH,HD-Hillsborough-44,R,R,False,state legislature,-10.0,-9.0,-1.0,2016,2017
2017-05-23,NY,SD-30,D,D,False,US House,89.0,90.0,-1.0,2016,2017
2017-05-23,NY,AD-09,R,D,True,US House,16.0,-23.0,39.0,2016,2017
2017-05-25,MT,MT-AL,R,R,False,US House,-6.0,-20.0,15.0,2016,2017
2017-05-31,SC,HD-84,R,R,False,US House,-21.0,-34.0,13.0,2016,2017
2017-06-15,TN,HD-95,R,R,False,US House,-27.0,-39.0,12.0,2016,2017
2017-06-20,SC,HD-70,D,D,False,US House,56.0,43.0,13.0,2016,2017
2017-06-20,GA,GA-06,R,R,False,US House,-4.0,-1.0,-3.0,2016,2017
2017-06-20,SC,SC-05,R,R,False,US House,-3.0,-18.0,15.0,2016,2017
2017-06-20,SC,HD-48,R,R,False,US House,-21.0,-24.0,3.0,2016,2017
2017-07-11,OK,HD-75,R,D,True,US House,5.0,-22.0,27.0,2016,2017
2017-07-11,OK,SD-44,R,D,True,US House,9.0,-19.0,28.0,2016,2017
2017-07-18,NH,HD-Merrimack-18,D,D,False,state legislature,55.0,22.0,33.0,2016,2017
2017-07-25,NH,SD-16,D,D,False,US House,11.0,0.3,10.0,2016,2017
