office,state_po,district,special,race_type,incumbent,incumbent_party,inc_side,dem_candidate,rep_candidate,race_note,pres24,quality_diff,prior_edge,poll_count,poll_avg,poll_weight,fundamentals_mean,margin_median,margin_p10,margin_p90,p_dem
GOV,AK,0,False,rcv_bloc,Mike Dunleavy,R,0,Jonathan Kreiss-Tomkins,Dave Bronson; Treg Taylor; Bernadette Wilson,,-13.69312508474994,-1.0,,,,0.0,-6.421978413154728,-6.509557034442212,-17.583141947096838,4.686750464362928,0.22905
GOV,AL,0,False,standard,Kay Ivey,R,0,Doug Jones,Tommy Tuberville,,-30.88122385938789,0.0,,2.0,-8.907371396177014,0.22896221506043904,-22.95428873136906,-19.73708869553763,-29.584180932176285,-9.947014007923272,0.0056
GOV,AR,0,False,standard,Sarah Huckabee Sanders,R,-1,Fredrick Love,Sarah Huckabee Sanders,,-31.33998647229675,-2.0,-7.255158514818348,1.0,-5.882352941176471,0.3913406405653826,-25.956141402984642,-18.13212207111922,-26.466686251169907,-9.782376404314965,0.00265
GOV,AZ,0,False,standard,Katie Hobbs,D,1,Katie Hobbs,Andy Biggs,,-5.588317921733368,1.0,7.6689197284775075,21.0,8.528308813400065,0.5968638553996977,13.661388690363982,10.69371860836053,3.6727142480537562,17.66061291704217,0.97525
GOV,CA,0,False,standard,Gavin Newsom,D,0,Xavier Becerra,Steve Hilton,,20.80028514359668,2.0,,7.0,24.873630258987745,0.634977320724143,30.783159533036827,27.122287031294235,20.108327445047202,34.01687316132774,1.0
GOV,CO,0,False,standard,Jared Polis,D,0,Phil Weiser,Victor Marx,,11.293083462132921,2.0,,,,0.0,21.48115882618518,21.522089642042495,10.434828470548846,32.418400277969646,0.99415
GOV,CT,0,False,standard,Ned Lamont,D,1,Ned Lamont,Ryan Fazio,,14.756464972518335,2.0,-0.0977415708014532,7.0,15.93858102645567,0.6089141843092148,29.919021804935113,21.501045626932296,14.524894960249034,28.241161173819375,1.0
GOV,FL,0,False,standard,Ron DeSantis,R,0,David Jolly,Byron Donalds,,-13.22213886698459,0.0,,17.0,-0.23857578510764088,0.6015144519385798,-4.94626410167216,-2.1209957646600404,-9.296292064844556,5.233337402123469,0.35565
GOV,GA,0,False,standard,Brian Kemp,R,0,Keisha Lance Bottoms,Rick Jackson,,-2.2087323027962817,2.0,,12.0,-1.1921067413177115,0.6481628035399494,8.107949331980173,2.116716375244865,-4.832809519226407,8.941416850367158,0.65415
GOV,HI,0,False,standard,Josh Green,D,1,Josh Green,Gary Cordery,,23.560651661222998,3.0,3.573901658995034,,,0.0,41.818145126865254,41.69547308367746,31.11223754689349,52.493269172491026,1.0
GOV,IA,0,False,standard,Kim Reynolds,R,0,Rob Sand,Zach Lahn,,-13.445597709596235,2.0,,16.0,8.631498160148022,0.6436418437870536,-3.1719353782096085,4.496218227797225,-2.3603125062723342,11.281513961298334,0.79915
GOV,ID,0,False,standard,Brad Little,R,-1,Terri Pickens,Brad Little,,-37.52184118025308,-3.0,10.678948086950449,2.0,-19.978892729759004,0.49807006583019325,-44.647074118800234,-32.34037508891476,-40.04943339052034,-24.547713563422676,0.0
GOV,IL,0,False,standard,JB Pritzker,D,1,JB Pritzker,Darren Bailey,,11.135530816543426,2.0,2.886310352395446,1.0,22.727272727272727,0.002285181925110464,28.244593365471186,28.239409309236667,17.439571651541144,38.84061227343158,0.9999
GOV,KS,0,False,standard,Laura Kelly,D,0,Cindy Holscher,Ty Masterson,,-16.411473894550323,0.0,,3.0,-6.142803897834277,0.5556010571974892,-8.172456864193288,-7.024115010721491,-14.548756274468362,0.6132757578894736,0.11935
GOV,MA,0,False,standard,Maura Healey,D,1,Maura Healey,Mike Minogue,,25.910638840838516,3.0,2.753934390717476,8.0,26.450134618113967,0.506087357443667,43.57997173067282,34.99214576129909,27.329312160725372,42.61523990967998,1.0
GOV,MD,0,False,standard,Wes Moore,D,1,Wes Moore,Dan Cox,,29.509514054361844,2.0,6.794727593636114,1.0,26.237078651685398,0.21352025914396883,48.604163342644796,43.748981280853556,34.145770662254165,53.29273427548974,1.0
GOV,ME,0,False,standard,Janet Mills,D,0,Hannah Pingree,Robert B. Charles,,7.08861163994892,1.0,,8.0,13.689379283229076,0.6198077164569411,16.337462912204913,14.740024265273231,7.619668756910727,21.754850152147142,0.9959
GOV,MI,0,False,standard,Gretchen Whitmer,D,0,Jocelyn Benson,John James,,-1.4424736578339323,0.0,,30.0,10.155283441338002,0.6498651449665065,6.872122103159793,8.991169911844274,2.2705314827075176,15.791056825961427,0.95565
GOV,MN,0,False,standard,Tim Walz,D,0,Amy Klobuchar,Lisa Demuth,,4.343404352188957,2.0,,9.0,11.384833920974723,0.6224085111800246,14.621878505715072,12.643390153102981,5.544001348617935,19.65671947398228,0.9889
