race_id,office,state_po,district,special,race_type,incumbent,incumbent_party,inc_side,dem_candidate,rep_candidate,race_note,pres24,quality_diff,prior_edge,money_log_ratio,money_adj,quality_adj,poll_count,poll_avg,poll_weight,fundamentals_mean,margin_median,margin_p10,margin_p90,p_dem
governor-ak,GOV,AK,0,False,rcv_bloc,Mike Dunleavy,R,0,Jonathan Kreiss-Tomkins,Dave Bronson; Treg Taylor; Bernadette Wilson,,-13.69312508474994,-1.0,,,0.0,-2.215480621370862,,,0.0,-7.552208718774303,-7.645277500849,-18.714424848650204,3.521895062692701,0.19245
governor-al,GOV,AL,0,False,standard,Kay Ivey,R,0,Doug Jones,Tommy Tuberville,,-30.88122385938789,0.0,,,0.0,0.0,2.0,-8.888921648244562,0.4768267760779878,-22.871977014634915,-16.20248094427484,-24.37590583848395,-8.000539626652992,0.006
governor-ar,GOV,AR,0,False,standard,Sarah Huckabee Sanders,R,-1,Fredrick Love,Sarah Huckabee Sanders,,-31.33998647229675,-2.0,-7.255158514818348,,0.0,-0.10313698407800687,1.0,-5.882352941176471,0.50711126323288,-23.977094567577932,-14.785405386298216,-22.40603074376325,-7.244559555678619,0.0057
governor-az,GOV,AZ,0,False,standard,Katie Hobbs,D,1,Katie Hobbs,Andy Biggs,,-5.588317921733368,1.0,7.6689197284775075,,0.0,0.873635885463528,21.0,8.51940411980392,0.6454196591567584,13.62045687359419,10.41817979774089,3.815272101856979,16.960399616506848,0.9794
governor-ca,GOV,CA,0,False,standard,Gavin Newsom,D,0,Xavier Becerra,Steve Hilton,,20.80028514359668,2.0,,,0.0,0.01658380152013327,7.0,25.479134322855746,0.6630717737257509,28.880831702562276,26.711828679287166,19.981768760624362,33.317250767964204,1.0
governor-co,GOV,CO,0,False,standard,Jared Polis,D,0,Phil Weiser,Victor Marx,,11.293083462132921,2.0,,,0.0,0.3784147989239142,,,0.0,19.943064382248153,19.9910371230522,8.903135696858495,30.867856047152635,0.99
governor-ct,GOV,CT,0,False,standard,Ned Lamont,D,1,Ned Lamont,Ryan Fazio,,14.756464972518335,2.0,-0.0977415708014532,,0.0,0.02331348267705968,8.0,15.48960122790455,0.64341494792737,28.025056700705733,20.070106153020397,13.373725040596199,26.486283342508628,0.99995
governor-fl,GOV,FL,0,False,standard,Ron DeSantis,R,0,David Jolly,Byron Donalds,,-13.22213886698459,0.0,,,0.0,0.0,17.0,0.840960536085278,0.650595849726602,-4.860982673253814,-1.1494797374345198,-7.900497414317258,5.783720111725915,0.4144
governor-ga,GOV,GA,0,False,standard,Brian Kemp,R,0,Keisha Lance Bottoms,Rick Jackson,,-2.2087323027962817,2.0,,,0.0,4.137270794694721,13.0,-1.4105002901216965,0.672060758648903,10.330510338697401,2.4710436849252266,-4.248638436191628,9.082913039070243,0.6844
governor-hi,GOV,HI,0,False,standard,Josh Green,D,1,Josh Green,Gary Cordery,,23.560651661222998,3.0,3.573901658995034,,0.0,0.00022137410659661428,,,0.0,38.8985884417854,38.7783574538849,28.174168837152436,49.56151578304649,1.0
governor-ia,GOV,IA,0,False,standard,Kim Reynolds,R,0,Rob Sand,Zach Lahn,,-13.445597709596235,2.0,,,0.0,4.511894092890614,16.0,9.45823105130365,0.6698111555313334,-0.5747742984754053,6.200276496925594,-0.3870733543260482,12.795330809297132,0.8846
governor-id,GOV,ID,0,False,standard,Brad Little,R,-1,Terri Pickens,Brad Little,,-37.52184118025308,-3.0,10.678948086950449,,0.0,-4.9835556501499925e-05,2.0,-17.265480788404634,0.5601145859694246,-41.566923788673364,-27.945942312818584,-35.17009461991848,-20.624195279110364,0.0
governor-il,GOV,IL,0,False,standard,JB Pritzker,D,1,JB Pritzker,Darren Bailey,,11.135530816543426,2.0,2.886310352395446,,0.0,0.04383689192654759,1.0,22.72727272727273,0.017201569001713008,26.371953085640655,26.32945437499815,15.631228655546671,36.80438517562033,0.9996
governor-ks,GOV,KS,0,False,standard,Laura Kelly,D,0,Cindy Holscher,Ty Masterson,,-16.411473894550323,0.0,,,0.0,0.0,4.0,-5.356291301230189,0.6052271859391701,-8.087436474006642,-6.396691934876807,-13.54502069179697,0.8239333258125991,0.12815
governor-ma,GOV,MA,0,False,standard,Maura Healey,D,1,Maura Healey,Mike Minogue,,25.910638840838516,3.0,2.753934390717476,,0.0,8.367264429056619e-05,9.0,20.40281591020408,0.6222124359180691,40.659481156472154,28.09114792476302,21.352792837279893,34.84089377465182,1.0
governor-md,GOV,MD,0,False,standard,Wes Moore,D,1,Wes Moore,Dan Cox,,29.509514054361844,2.0,6.794727593636114,,0.0,1.4453331797485827e-06,1.0,26.237078651685398,0.37064351830621073,46.68226819080304,39.04064367355474,30.400872619872807,47.60990846338579,1.0
governor-me,GOV,ME,0,False,standard,Janet Mills,D,0,Hannah Pingree,Robert B. Charles,,7.08861163994892,1.0,,,0.0,0.5177090530144665,10.0,12.670401121572521,0.6667265011259247,15.939430239046386,13.774610143369815,7.106370800218481,20.443879075024114,0.9958
governor-mi,GOV,MI,0,False,standard,Gretchen Whitmer,D,0,Jocelyn Benson,John James,,-1.4424736578339323,0.0,,,0.0,0.0,31.0,9.328212391971922,0.6769519095708809,6.957362593881598,8.562889793447525,2.0756497105108274,15.086657483264494,0.9531
governor-mn,GOV,MN,0,False,standard,Tim Walz,D,0,Amy Klobuchar,Lisa Demuth,,4.343404352188957,2.0,,,0.0,1.7597574958357094,9.0,10.412255049603026,0.6529631123297452,14.466295318065775,11.856568022775871,5.059541376401303,18.592978284301054,0.9877
governor-ne,GOV,NE,0,False,standard,Jim Pillen,R,-1,Lynne Walz,Jim Pillen,,-20.840683303897794,-2.0,-2.469834530157563,,0.0,-0.8863093020948218,7.0,-14.048723079877048,0.5686468383574083,-17.017667182172453,-15.268797144932861,-22.446651953019337,-8.188274063671512,0.00325
governor-nh,GOV,NH,0,False,standard,Kelly Ayotte,R,-1,Cinde Warmington,Kelly Ayotte,,2.821214946726764,-2.0,,,0.0,-4.171213222593377,8.0,-11.059804984396198,0.6583329702157693,1.9262986301440128,-6.5941653153059026,-13.30810800433215,0.13818430270423337,0.10575
governor-nm,GOV,NM,0,False,standard,Michelle Lujan Grisham,D,0,Deb Haaland,Gregg Hull,,6.141812228647307,0.0,,,0.0,0.0,3.0,11.38486828967219,0.5766123041566414,14.486187544032859,12.795961606267419,5.473201446319417,20.15448843162273,0.9867
governor-nv,GOV,NV,0,False,standard,Joe Lombardo,R,-1,Aaron Ford,Joe Lombardo,,-3.1590179085170167,-1.0,-3.308540504868871,,0.0,-2.6084231217849227,12.0,1.259657801606129,0.6043357050028302,-0.3793313985421979,0.6228931206992938,-6.16440319724784,7.629864220545218,0.54625
governor-ny,GOV,NY,0,False,standard,Kathy Hochul,D,1,Kathy Hochul,Bruce Blakeman,,12.689486117138935,2.0,-9.922834376338225,,0.0,0.3562926564873198,24.0,14.310294049709448,0.6497419000584681,20.141384391695553,16.33427393973235,9.767479463555523,22.862453356653123,0.99955
governor-oh,GOV,OH,0,False,standard,Mike DeWine,R,0,Amy Acton,Vivek Ramaswamy,,-11.313229427274072,0.0,,,0.0,0.0,20.0,2.02566462117062,0.6547717255234935,-2.935335693756014,0.3120830048146829,-6.436883549226597,7.017271624227723,0.52325
governor-ok,GOV,OK,0,False,standard,Kevin Stitt,R,0,Cyndi Munson,Mike Mazzei,,-34.94008381234161,0.0,,,0.0,0.0,,,0.0,-27.063065763231144,-26.967806591418682,-38.18359007666043,-15.84607219758615,0.0008
governor-or,GOV,OR,0,False,standard,Tina Kotek,D,1,Tina Kotek,Christine Drazan,,14.866116069775194,2.0,-5.526093298493672,,0.0,0.0783429010888274,4.0,-2.254545598334337,0.5250809721243118,24.767621499469755,10.686032703554766,3.057325767406958,18.23178066187325,0.96125
governor-pa,GOV,PA,0,False,standard,Josh Shapiro,D,1,Josh Shapiro,Stacy Garrity,,-1.7263846921271542,1.0,21.18005203479529,,0.0,0.03377589741261656,17.0,23.390107648746987,0.647948756366116,25.151526237312623,23.99274801311354,17.454028761864883,30.520480328067784,1.0
