year,actual,predicted,error,p10,p90,inside_80,reads_used
1996,0.750710072531698,1.1889638731915133,0.43825380065981534,-1.5731491396654043,3.911050136528625,True,fundamentals+generic
1998,-0.8224156458860858,-1.648484727906667,-0.8260690820205812,-4.336685305265011,1.0868897545883955,True,fundamentals+generic
2000,-0.3634711143639487,0.4327483279347825,0.7962194422987312,-2.4478581135755286,3.1925250576562774,True,fundamentals+generic
2002,-4.960096270382826,-2.6022066382780586,2.3578896321047678,-5.347130233462639,0.17416094640339103,True,fundamentals+generic
2004,-2.745499920041233,0.5214637062969716,3.266963626338205,-2.1666630504066764,3.2420336240219916,False,fundamentals+generic
2006,8.165451486643782,7.102580412998515,-1.0628710736452671,4.3009917219148255,10.008888053025757,True,fundamentals+generic
2008,11.06871267512168,5.064628864368183,-6.004083810753496,3.1504590923940907,6.930346468867064,False,fundamentals+generic
2010,-6.767854098139936,-6.759043116722569,0.008810981417367358,-9.46760175640303,-3.944426841817968,True,fundamentals+generic
2012,1.1496539879036958,-0.442118072923598,-1.5917720608272938,-3.19573095600882,2.272260785350939,True,fundamentals+generic
2014,-6.053086181547191,-5.257397180064914,0.7956890014822768,-7.967077817014832,-2.5064950610045105,True,fundamentals+generic
2016,-1.0912135040214603,-0.26167443527988177,0.8295390687415786,-3.014633696085308,2.441096898245751,True,fundamentals+generic
2018,8.724266983528972,7.265415806214134,-1.4588511773148385,5.042614784017731,9.397670646164134,True,fundamentals+generic+specials
2020,3.172625597557192,3.7425497406189363,0.5699241430617441,1.5858481535481923,5.972294256720097,True,fundamentals+generic+specials
2022,-2.7790362394604355,-1.4163220622492076,1.362714177211228,-3.65769226077635,0.8926135568488406,True,fundamentals+generic+specials
2024,-2.4702608268825594,-1.18474521517222,1.2855156117103395,-3.9573490864135565,1.5485088571394292,True,fundamentals+generic
