outlet,races,ours_called,theirs_called,ours_tossups,theirs_tossups,ours_brier,theirs_brier,both_picked,ours_right_both,theirs_right_both,disagreed,ours_won_disagreements,their_tossups_we_picked,ours_right_on_their_tossups,asof,subset,years,offices
FiveThirtyEight (model),1286,0.9580093312597201,0.9513996889580093,22,49,0.03129796361780715,0.03323649678800544,1226,0.9738988580750407,0.9730831973898858,13,7,38,0.7105263157894737,sep22,all,"2018,2020,2022","GOV,HOUSE,SEN"
FiveThirtyEight (model),325,0.8369230769230769,0.8107692307692308,22,49,0.12080148880000001,0.12826958868076924,265,0.8830188679245283,0.879245283018868,13,7,38,0.7105263157894737,sep22,competitive,"2018,2020,2022","GOV,HOUSE,SEN"
CNN,166,0.8614457831325302,0.8283132530120482,6,37,0.09873057951807228,,127,0.937007874015748,0.9291338582677166,3,2,33,0.6363636363636364,sep22,all,2018,"HOUSE,SEN"
CNN,114,0.8070175438596491,0.7587719298245614,6,37,0.13512463875,,75,0.9066666666666666,0.8933333333333333,3,2,33,0.6363636363636364,sep22,competitive,2018,"HOUSE,SEN"
CNalysis,361,0.9722991689750693,0.9681440443213296,8,11,0.01950200747229917,,342,0.9912280701754386,0.9941520467836257,1,0,11,0.7272727272727273,sep22,all,2024,"HOUSE,SEN"
CNalysis,80,0.875,0.85625,8,11,0.08773579665625,,61,0.9508196721311475,0.9672131147540983,1,0,11,0.7272727272727273,sep22,competitive,2024,"HOUSE,SEN"
Cook Political Report,1435,0.9522648083623694,0.9369337979094077,31,141,0.03540461256968642,,1289,0.9844840961986036,0.9860356865787432,6,2,115,0.7130434782608696,sep22,all,"2018,2020,2022,2024","GOV,HOUSE,SEN"
Cook Political Report,432,0.8460648148148148,0.7928240740740741,31,141,0.11298525684606481,,286,0.9370629370629371,0.9405594405594405,5,2,115,0.7130434782608696,sep22,competitive,"2018,2020,2022,2024","GOV,HOUSE,SEN"
DDHQ,559,0.962432915921288,0.943649373881932,16,21,0.026792904762969586,,524,0.982824427480916,0.9770992366412213,7,5,19,0.7894736842105263,sep22,all,"2020,2022,2024","HOUSE,SEN"
DDHQ,142,0.8661971830985915,0.7922535211267606,16,21,0.09214771112676057,,107,0.9345794392523364,0.9065420560747663,7,5,19,0.7894736842105263,sep22,competitive,"2020,2022,2024","HOUSE,SEN"
Daily Kos,608,0.930921052631579,0.9144736842105263,10,68,0.05245182511924342,,537,0.9664804469273743,0.9702048417132216,4,1,61,0.6885245901639344,sep22,all,"2018,2020","GOV,HOUSE,SEN"
Daily Kos,231,0.8268398268398268,0.7792207792207793,10,68,0.12955132006493505,,160,0.9,0.90625,3,1,61,0.6885245901639344,sep22,competitive,"2018,2020","GOV,HOUSE,SEN"
