year,office,state_po,district,special,asof,outlet,p_dem,rating,rating_them,actual
2018,HOUSE,AK,0,False,sep22,FiveThirtyEight (model),0.04645,Safe R,Lean R,-6.612617357942614
2018,HOUSE,AL,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-26.397584696478507
2018,HOUSE,AL,2,False,sep22,FiveThirtyEight (model),0.0096,Safe R,Safe R,-23.00518134715026
2018,HOUSE,AL,3,False,sep22,FiveThirtyEight (model),5e-05,Safe R,Safe R,-27.516546861921075
2018,HOUSE,AL,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-59.70305139395095
2018,HOUSE,AL,5,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-22.144280498059132
2018,HOUSE,AL,6,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-38.42680796301755
2018,HOUSE,AR,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-41.110726925110846
2018,HOUSE,AR,2,False,sep22,FiveThirtyEight (model),0.2153,Lean R,Lean R,-6.44082816402159
2018,HOUSE,AR,3,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-32.97953672614444
2018,HOUSE,AR,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-36.24678663239074
2018,HOUSE,AZ,1,False,sep22,FiveThirtyEight (model),0.996,Safe D,Safe D,7.689531771569483
2018,HOUSE,AZ,2,False,sep22,FiveThirtyEight (model),0.9624,Safe D,Likely D,9.49289826341543
2018,HOUSE,AZ,3,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,27.73092391849285
2018,HOUSE,AZ,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-38.16207753060948
2018,HOUSE,AZ,5,False,sep22,FiveThirtyEight (model),0.0001,Safe R,Safe R,-18.849180998134567
2018,HOUSE,AZ,6,False,sep22,FiveThirtyEight (model),0.03755,Safe R,Likely R,-10.386070723846744
2018,HOUSE,AZ,8,False,sep22,FiveThirtyEight (model),0.00685,Safe R,Likely R,-10.92824010196975
